ts,ihd03A,ihd05A,ihd07A,ithdA
1588750880449,91.89,79.23,62.65,167.39
1588750880470,91.98,79.46,62.83,168.12
1588750880490,92.02,79.52,63.03,168.56
1588750880510,92.03,79.6,63.31,169.07
1588750880530,92.05,79.66,63.46,169.37
1588750880550,91.96,79.58,63.59,169.71
1588750880571,91.92,79.45,63.66,169.9
1588750880592,91.93,79.26,63.57,169.72
1588750880613,91.91,79.04,63.52,169.26
1588750880634,91.91,78.91,63.4,168.84
1588750880657,91.87,78.79,63.37,168.61
1588750880679,91.89,78.79,63.34,168.63
1588750880700,92.0,78.86,63.36,168.72
1588750880721,92.13,78.81,63.43,168.8
1588750880741,92.26,78.84,63.57,168.81
1588750880761,92.3,78.78,63.7,168.85
1588750880782,92.31,78.7,63.82,168.86
1588750880803,92.15,78.55,63.97,168.71
1588750880823,91.97,78.47,63.93,168.21
1588750880843,91.78,78.38,63.79,167.8
1588750880863,91.5,78.28,63.66,167.35
1588750880884,91.27,78.15,63.41,166.85
1588750880904,90.96,78.1,63.17,166.27
1588750880928,90.77,78.02,62.9,165.79
1588750880949,90.49,77.83,62.52,165.33
1588750880969,90.44,77.84,62.32,165.21
1588750880990,90.36,77.97,62.14,165.33
1588750881010,90.33,78.15,62.09,165.62
1588750881031,90.37,78.32,62.02,165.83
1588750881051,90.35,78.57,61.85,166.12
1588750881072,90.33,78.68,61.81,166.22
1588750881093,90.3,78.71,61.73,166.29
1588750881114,90.2,78.66,61.73,166.21
1588750881138,90.27,78.65,61.85,166.26
1588750881160,90.45,78.79,62.02,166.65
1588750881181,90.59,78.91,62.17,166.97
1588750881201,90.79,79.1,62.43,167.44
1588750881221,91.03,79.06,62.55,167.49
1588750881242,91.39,79.04,62.68,167.54
1588750881262,91.68,79.03,62.88,167.73
1588750881283,91.91,79.1,63.01,168.11
1588750881303,92.0,79.19,63.25,168.44
1588750881323,92.03,79.37,63.44,168.65
1588750881344,92.09,79.44,63.67,168.79
1588750881364,92.11,79.47,63.94,168.84
