ts,ihd03A,ihd05A,ihd07A,ithdA
1588748839683,90.32,73.33,53.08,138.99
1588748839703,90.33,73.41,52.98,139.05
1588748839726,90.32,73.38,52.85,139.08
1588748839747,90.18,73.48,52.7,139.11
1588748839767,90.06,73.53,52.59,139.05
1588748839788,89.83,73.49,52.34,138.83
1588748839812,89.64,73.43,52.14,138.46
1588748839832,89.44,73.34,51.95,138.07
1588748839852,89.24,73.24,51.95,137.71
1588748839873,89.0,73.18,51.92,137.52
1588748839894,88.84,73.18,52.08,137.52
1588748839915,88.89,73.22,52.28,137.6
1588748839936,88.96,73.34,52.54,137.83
1588748839957,89.04,73.4,52.79,138.08
1588748839978,89.2,73.37,53.05,138.25
1588748839999,89.25,73.31,53.2,138.45
1588748840023,89.22,73.19,53.24,138.45
1588748840043,89.26,73.06,53.34,138.51
1588748840063,89.22,72.86,53.39,138.37
1588748840083,89.13,72.71,53.34,138.15
1588748840103,89.04,72.39,53.29,137.93
1588748840124,89.02,72.21,53.28,137.82
1588748840144,89.07,72.01,53.15,137.66
1588748840164,89.12,71.87,53.07,137.69
1588748840185,89.26,71.8,52.95,137.86
1588748840205,89.28,71.7,52.82,137.98
1588748840226,89.28,71.75,52.75,137.99
1588748840246,89.32,71.82,52.76,138.2
1588748840266,89.3,72.0,52.8,138.29
1588748840287,89.28,72.12,52.8,138.44
1588748840307,89.17,72.33,52.76,138.36
1588748840327,89.02,72.59,52.78,138.31
1588748840347,88.94,72.76,52.75,138.31
1588748840368,88.88,72.96,52.73,138.22
1588748840389,88.91,73.08,52.78,138.13
1588748840413,88.94,73.2,52.82,138.21
1588748840434,88.93,73.38,52.94,138.15
1588748840455,89.08,73.53,53.02,138.29
1588748840476,89.11,73.64,53.2,138.43
1588748840497,89.27,73.78,53.34,138.63
1588748840517,89.43,73.84,53.37,138.74
1588748840537,89.4,73.81,53.25,138.75
1588748840557,89.43,73.82,53.14,138.75
1588748840578,89.39,73.84,53.05,138.79
1588748840598,89.42,73.85,53.03,138.88
1588748840623,89.33,73.74,52.99,138.83
1588748840644,89.3,73.62,52.94,138.83
1588748840665,89.13,73.46,52.86,138.58
1588748840685,89.1,73.26,52.74,138.44
1588748840705,88.9,73.09,52.69,138.1
1588748840726,88.89,72.93,52.64,137.96
1588748840747,88.81,72.87,52.7,137.87
1588748840767,88.94,72.93,52.76,137.89
1588748840787,89.19,73.09,53.01,138.14
1588748840811,89.47,73.21,53.2,138.36
1588748840831,89.78,73.42,53.33,138.7
1588748840851,90.07,73.61,53.27,139.01
1588748840872,90.23,73.78,53.17,139.17
1588748840893,90.22,73.79,53.04,139.11
1588748840914,89.93,73.7,52.65,138.71
1588748840935,89.54,73.44,52.36,138.12
1588748840956,89.16,73.09,52.06,137.53
1588748840977,88.73,72.61,51.96,136.92
1588748840997,88.42,72.24,51.88,136.53
1588748841017,88.08,72.09,51.83,136.23
1588748841038,87.98,71.99,51.9,136.12
1588748841059,87.98,71.99,52.07,136.2
1588748841082,88.0,72.01,52.24,136.23
1588748841103,88.2,71.95,52.43,136.28
1588748841123,88.38,71.97,52.44,136.31
1588748841144,88.63,71.89,52.52,136.47
1588748841164,88.79,71.8,52.6,136.56
1588748841185,88.98,71.74,52.69,136.67
1588748841205,88.98,71.66,52.86,136.75
1588748841226,88.96,71.56,53.09,136.8
1588748841246,88.84,71.61,53.22,136.83
1588748841267,88.75,71.54,53.26,136.77
1588748841288,88.55,71.62,53.22,136.71
1588748841308,88.55,71.82,53.05,136.7
1588748841328,88.53,72.08,52.85,136.67
1588748841348,88.54,72.21,52.71,136.63
1588748841372,88.45,72.33,52.64,136.41
1588748841392,88.38,72.3,52.58,136.21
1588748841412,88.27,72.22,52.53,136.21
1588748841433,88.34,72.2,52.53,136.18
1588748841454,88.36,72.29,52.59,136.34
1588748841474,88.44,72.34,52.61,136.51
1588748841494,88.57,72.49,52.6,136.87
1588748841514,88.84,72.85,52.71,137.54
1588748841534,89.07,73.18,52.73,138.02
1588748841555,89.6,73.57,52.77,138.92
