ts,ihd03A,ihd05A,ihd07A,ithdA
1588747437380,12.83,6.8,2.64,19.81
1588747437400,12.7,6.77,2.69,19.47
1588747437420,12.56,6.74,2.73,19.09
1588747437440,12.5,6.73,2.73,18.84
1588747437460,12.42,6.72,2.7,18.53
1588747437480,12.36,6.77,2.65,18.28
1588747437500,12.34,6.81,2.58,18.28
1588747437520,12.34,6.86,2.51,18.38
1588747437540,12.37,6.96,2.42,18.56
1588747437560,12.43,7.04,2.33,18.74
1588747437580,12.51,7.16,2.21,19.04
1588747437600,12.61,7.24,2.14,19.26
1588747437620,12.71,7.28,2.09,19.41
1588747437640,12.8,7.3,2.09,19.47
1588747437663,12.89,7.3,2.12,19.44
1588747437683,13.03,7.27,2.21,19.25
1588747437703,13.14,7.21,2.3,19.09
1588747437723,13.23,7.19,2.39,19.01
1588747437743,13.34,7.16,2.46,18.98
1588747437763,13.38,7.16,2.51,18.95
1588747437783,13.44,7.16,2.56,18.98
1588747437803,13.43,7.15,2.58,19.1
1588747437823,13.38,7.13,2.59,19.27
1588747437843,13.28,7.08,2.57,19.52
1588747437863,13.17,7.04,2.55,19.77
1588747437883,13.02,7.01,2.53,19.99
1588747437903,12.94,6.99,2.53,20.13
1588747437923,12.78,6.97,2.58,20.26
1588747437943,12.71,6.97,2.6,20.23
1588747437963,12.58,6.99,2.67,19.9
1588747437983,12.47,7.0,2.69,19.55
1588747438003,12.38,7.04,2.71,19.26
1588747438023,12.3,7.1,2.69,19.05
1588747438043,12.26,7.19,2.71,18.84
1588747438063,12.25,7.25,2.71,18.73
1588747438083,12.29,7.34,2.7,18.63
1588747438103,12.36,7.39,2.7,18.75
1588747438123,12.44,7.42,2.68,18.89
1588747438143,12.54,7.42,2.64,19.09
1588747438163,12.59,7.42,2.61,19.21
1588747438183,12.64,7.42,2.57,19.4
1588747438203,12.7,7.4,2.45,19.52
1588747438223,12.74,7.39,2.35,19.5
1588747438243,12.8,7.36,2.25,19.38
1588747438263,12.87,7.33,2.16,19.19
1588747438283,12.93,7.3,2.15,19.06
1588747438303,13.1,7.24,2.15,18.82
1588747438323,13.24,7.19,2.2,18.74
1588747438343,13.35,7.14,2.24,18.74
1588747438363,13.45,7.1,2.29,18.87
1588747438383,13.51,7.08,2.32,18.97
1588747438403,13.55,7.04,2.37,19.17
1588747438423,13.5,7.01,2.4,19.37
1588747438443,13.43,6.97,2.45,19.61
1588747438463,13.32,6.96,2.52,19.86
1588747438483,13.19,6.93,2.57,20.0
1588747438503,13.02,6.91,2.67,20.1
1588747438523,12.89,6.89,2.77,20.14
1588747438543,12.75,6.87,2.84,20.12
1588747438563,12.65,6.84,2.86,20.04
1588747438583,12.51,6.83,2.91,19.73
1588747438603,12.43,6.83,2.9,19.43
1588747438623,12.37,6.85,2.88,19.22
1588747438643,12.33,6.91,2.8,18.93
1588747438663,12.34,6.97,2.73,18.77
1588747438683,12.35,7.01,2.63,18.59
1588747438703,12.41,7.07,2.56,18.48
1588747438723,12.45,7.12,2.46,18.45
1588747438743,12.48,7.14,2.37,18.52
1588747438763,12.5,7.16,2.3,18.59
1588747438783,12.57,7.19,2.2,18.7
1588747438803,12.64,7.19,2.13,18.75
1588747438823,12.73,7.16,2.09,18.81
1588747438843,12.84,7.11,2.06,18.83
1588747438863,12.95,7.06,2.08,18.84
1588747438883,13.07,7.04,2.13,18.79
1588747438903,13.16,7.04,2.2,18.79
1588747438923,13.26,7.08,2.3,18.87
1588747438943,13.32,7.14,2.37,18.98
1588747438963,13.33,7.19,2.42,19.09
1588747438983,13.32,7.25,2.47,19.25
1588747439003,13.29,7.28,2.49,19.4
1588747439023,13.25,7.27,2.5,19.6
1588747439043,13.18,7.24,2.48,19.85
1588747439063,13.09,7.2,2.46,19.96
1588747439083,12.99,7.13,2.41,20.08
1588747439103,12.88,7.07,2.37,20.05
1588747439123,12.74,7.02,2.37,19.95
1588747439143,12.64,6.97,2.37,19.83
1588747439163,12.56,6.94,2.39,19.62
1588747439183,12.5,6.91,2.41,19.41
1588747439203,12.43,6.9,2.43,19.19
1588747439223,12.36,6.91,2.4,18.85
1588747439243,12.32,6.95,2.35,18.54
1588747439263,12.31,6.97,2.3,18.39
1588747439283,12.31,7.06,2.23,18.31
1588747439303,12.34,7.11,2.19,18.51
1588747439323,12.39,7.16,2.14,18.74
1588747439343,12.45,7.21,2.12,18.99
1588747439363,12.51,7.27,2.1,19.19
1588747439383,12.57,7.3,2.05,19.35
1588747439403,12.59,7.32,2.0,19.45
1588747439423,12.69,7.32,1.93,19.57
1588747439443,12.75,7.3,1.91,19.51
1588747439463,12.84,7.29,1.93,19.43
1588747439484,13.02,7.24,1.98,19.2
1588747439504,13.17,7.21,2.07,19.04
1588747439524,13.31,7.18,2.16,18.97
1588747439544,13.44,7.16,2.26,18.98
1588747439564,13.52,7.14,2.31,19.06
1588747439584,13.56,7.11,2.33,19.2
1588747439604,13.55,7.07,2.36,19.42
1588747439624,13.55,7.03,2.36,19.61
1588747439644,13.5,7.02,2.37,19.83
1588747439664,13.44,7.0,2.42,20.02
1588747439688,13.36,6.98,2.47,20.11
1588747439709,13.24,6.96,2.54,20.14
1588747439730,13.12,6.94,2.59,20.04
1588747439750,12.96,6.91,2.61,19.8
1588747439770,12.86,6.88,2.63,19.62
1588747439790,12.72,6.87,2.6,19.24
1588747439810,12.64,6.88,2.58,19.08
1588747439830,12.5,6.94,2.52,18.76
1588747439850,12.44,7.01,2.45,18.63
1588747439870,12.38,7.1,2.38,18.47
1588747439890,12.35,7.17,2.33,18.42
1588747439910,12.35,7.21,2.31,18.46
1588747439932,12.4,7.24,2.28,18.58
1588747439952,12.45,7.24,2.26,18.68
1588747439972,12.53,7.24,2.21,18.83
1588747439992,12.6,7.22,2.17,18.97
1588747440012,12.69,7.22,2.12,19.09
1588747440032,12.8,7.24,2.09,19.12
1588747440052,12.91,7.23,2.12,19.1
1588747440072,13.01,7.22,2.14,18.99
1588747440092,13.12,7.19,2.18,18.83
1588747440112,13.23,7.16,2.2,18.75
1588747440132,13.37,7.14,2.23,18.71
1588747440152,13.48,7.08,2.21,18.82
1588747440172,13.54,7.04,2.19,18.98
1588747440192,13.56,6.98,2.17,19.17
1588747440213,13.54,6.9,2.19,19.42
1588747440233,13.43,6.8,2.22,19.76
